datetime,ADX,ADXR,APO,aroondown,aroonup,AROONOSC,BOP,CCI,CMO,DX,MACD,MFI,PPO,ROCP,RSI,STOCHslowk,STOCHslowd,STOCHRSIfastk,STOCHRSIfastd,TRIX,TRIX,1day,2day,3day,4day,5day
2018-10-26,19.062763273741748,18.485223307009804,-0.8352534717388238,64.28571428571429,100.0,35.714285714285715,0.07751937984496013,194.8671698232622,14.765711131994005,32.0674308372225,-0.28506773491840864,53.99360004232917,-3.806762959342526,0.07981859410430826,57.382855565997005,81.59178925468164,78.13267176223798,100.0,97.10284914387042,-0.22445299030322552,54.34431721536015,-0.04241915161696752,-0.005039899202015863,0.01763964720705591,0.025619487610247793,0.034019319613607824
2018-10-29,18.780480245548357,18.541293408647157,-0.6743291200040211,57.142857142857146,92.85714285714286,35.714285714285715,-0.8222222222222244,98.61273935130903,1.860777982383202,15.110800879034288,-0.23840215600481834,53.79008165074528,-3.0748865993289245,0.044912923923006456,50.9303889911916,65.88083354372598,75.46202497922206,30.973443631124425,76.99114787704144,-0.191420784629881,50.12895484374415,0.0390350877192982,0.06271929824561395,0.07105263157894726,0.07982456140350869,0.05438596491228065
2018-10-30,18.518360290797354,18.836565023896647,-0.5365788610506392,50.0,85.71428571428572,35.714285714285715,0.30894308943089566,94.93005435266849,11.323291007589663,15.110800879034288,-0.18332516298814078,59.83765048535893,-2.4452308729356833,0.08919540229885049,55.66164550379483,53.13987557696155,66.87083279178977,74.2754868483857,68.41631015983667,-0.15148031923452043,51.506615442902934,0.022794428028704017,0.03081468974250745,0.039257070493879276,0.014774166314900805,0.018995356690586718
2018-10-31,18.90172468650548,19.10747464725913,-0.3672107574247363,42.85714285714286,78.57142857142857,35.714285714285715,0.42307692307692274,122.57842123405729,16.578958984042085,23.885461830711183,-0.1171619449180032,67.38018740755561,-1.669468728984596,0.15766841853798383,58.289479492021044,57.21212121212111,58.74427677760293,100.0,68.41631015983667,-0.10295193222968901,51.990345325627565,0.007841518778374024,0.0160957490713991,-0.007841518778373913,-0.0037144036318612628,-0.015683037556747714
2018-11-01,19.768020443955283,19.614190849670422,-0.1465021769719108,35.714285714285715,100.0,64.28571428571429,-0.48484848484848314,139.4879134860048,18.411244660106128,31.029865290802718,-0.044336878457398726,68.00905488231007,-0.6644639003500432,0.12018348623853209,59.20562233005307,70.50785224507842,60.286616344720414,99.99999999999999,91.4251622827952,-0.04893093754254618,50.624814427471776,0.008190008190008147,-0.015561015561015634,-0.01146601146601145,-0.023341523341523285,-0.01760851760851767
2018-11-02,20.193088820183267,20.030998794472048,0.109275708780455,28.571428571428573,92.85714285714286,64.28571428571429,-0.4639999999999991,115.42736968604451,20.393355683402593,25.718977711147055,0.03201511290754627,65.81374370781572,0.49524862989586016,0.14671634839310682,60.196677841701295,75.44879451448787,67.72292265722919,100.0,99.99999999999996,0.008231641701761383,50.84244946236004,-0.023558082859463925,-0.019496344435418367,-0.03127538586515033,-0.025588952071486704,-0.04346060113728678
2018-11-05,20.18658930708875,20.21743181199188,0.3845913270107779,21.42857142857143,85.71428571428572,64.28571428571429,-0.5641025641025655,71.15539452495959,11.90306913190679,20.102095636859964,0.09760514749809378,64.03901564247249,1.7429193899781734,0.1442170395049975,55.951534565953395,66.10296985568611,70.68653887175087,6.392215987866325,68.79740532928874,0.05854450079179063,45.76629013832204,0.004159733777038266,-0.007903494176372594,-0.002079866888519133,-0.02038269550748739,-0.006655574043261114
2018-11-06,20.18055404492955,20.569189464089035,0.6526958578596442,14.285714285714286,78.57142857142857,64.28571428571429,0.15942028985507076,63.27741308047642,13.041711919930135,20.10209563685998,0.15432297870682657,67.75184200606604,2.9661871470825116,0.1376060320452405,56.52085595996507,57.32346709530225,66.29174382182548,13.411123183147962,39.93444639033807,0.10278534952310459,48.00224603337127,-0.012013256006627948,-0.006213753106876663,-0.02444076222038105,-0.010770505385252704,-0.008285004142502106
2018-11-07,20.271847432645778,20.338433672605973,0.764436895659415,7.142857142857143,71.42857142857143,64.28571428571429,-0.4177215189873406,50.090964220739714,8.655776602337816,21.45866147295677,0.19770635974784148,68.20614577489414,3.4786145000700888,0.15832928606119484,54.327888301168905,35.08238971684054,52.836275555943025,0.0,6.601113057004734,0.137591914509394,50.65069828469368,0.005870020964360512,-0.012578616352201255,0.0012578616352201255,0.0037735849056603765,0.012578616352201033
2018-11-08,20.447446707897335,19.98537207416606,0.9378111589416847,0.0,64.28571428571429,64.28571428571429,-0.2388059701492511,54.02619786280569,10.46189459214886,22.730237286167565,0.23215469994865717,67.75149332340705,4.272453122630847,0.11270871985157693,55.230947296074426,23.634470485124215,38.68010909908906,15.387483034936022,9.599535406027966,0.16564474731044498,43.59538453967982,-0.018340975406419213,-0.004585243851604748,-0.002084201750729431,0.006669445602334179,0.016256773655689782
